0,1
0.5,2
1.5,1
2,2
2.5,3
3,4
3.5,5,1
6.5,1
7,2
7.5,3
8,4
8.5,3
9.5,3
10,2
10.5,1
11.5,1
11.5,3
14,1
14,3
15,2
15,4
16,3
16.5,4
17.5,3
18,4
18.5,1
19,2
19.5,3
22.5,1
23,2
23.5,3
24,1
24.5,2
25.5,3
26,4
26.5,2
27.5,1
29,31,1
29,31,2
29,31,3
29,31,4
32,1
32,2
32.5,3
33,4
33.75,4
34.5,3
35.25,3
36,3
36.75,4
37.5,3
38.25,3
39,39.5,4
40,3
40,4
40.5,1
41,2
41.75,2
42.5,1
43.25,1
44,1
44.75,2
45.5,1
46.25,1
47,47.5,2
48,1
48,2
48.5,3
49,4
49.75,4
50.5,3
51.25,3
52,3
52.75,4
53.5,3
54.25,3
55,55.5,4
56,3
56,4
56.5,1
57,2
57.75,2
58.5,1
59.25,1
60,1
60.75,2
61.5,1
62.25,1
63,63.5,2
64,1
64,2
64.5,3
65,4
65.75,4
66.25,3
67.25,3
68,3
68.75,4
69.5,3
70.25,3
71,71.5,4
72,3
72,4
72.5,1
73,2
73.75,2
74.25,1
75.25,1
76,1
76.75,2
77.5,1
78.25,1
79,79.5,2
80,1
80,2
80.5,3
81,4
81.75,4
82.25,3
83.25,3
84,3
84.75,4
85.5,3
86.25,3
87,87.5,4
88,3
88,4
88.5,1
89,2
89.75,2
90.25,1
91.25,1
92,1
92.75,2
93.5,1
94.25,1
95,95.5,2
95.25,4
95.5,3
95.75,4
96,98,1
99,1
99.5,2
99.75,3
100.25,4
101,3
103.25,4
103.5,3
103.75,4
104,106,1
107,1
107.5,2
107.75,3
108.25,4
108.5,4
109,3
111.25,4
111.5,3
111.75,4
112,113,1
114,1
115,1
115.5,2
115.75,3
116.25,4
117,3
118.25,4
119,3
119.5,4
120,121,1
122,1
122.5,2
123,2
123.5,3
123.75,3
124.25,4
124.5,4
127.25,4
127.5,3
127.75,4
128,129,1
130,1
131,1
131.5,2
131.75,3
132.25,4
133,3
135.25,4
135.5,3
135.75,4
136,137,1
138,1
139,1
139.5,2
139.75,3
140.25,4
140.5,4
141,3
142.5,4
143,3
143.5,4
144,145,1
146,1
147,1
147.5,2
147.75,3
148.25,4
149,3
151,4
151.5,3
152,1
152.5,2
154,3
154.5,4
156,1
156.5,3
156.75,4
157,3
158.5,1
159.5,2
160,1
160,2
160.5,3
161,4
161.5,3
161.75,4
162.5,3
163.25,3
164,3
164.5,3
164.75,4
165.5,3
166.25,3
167,167.5,4
168,3
168,4
168.5,1
169,2
169.5,1
169.75,2
170.5,1
171.25,1
172,1
172.5,1
172.75,2
173.5,1
174.25,1
175,175.5,2
176,3
176,4
176.5,1
176.5,2
177.5,1
177.5,2
178,3
178,4
178.5,1
178.5,2
179,3
179,4
179.5,182,1
179.5,182,2
182.5,1
183,2
183.5,3
184,4
184.5,3
185.5,3
186,2
186.5,1
187.5,191,1
187.5,191,3
192,1
192.5,2
193.5,1
194,2
194.5,3
195,4
195.5,198,1
198.5,1
199,2
